timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.16,0.98,-0.21,-3.23,-0.73,-0.92
20,0.16,0.98,-0.21,-3.54,-0.92,-1.22
40,0.16,0.98,-0.21,-3.85,-0.73,-1.89
60,0.16,0.98,-0.21,-4.15,-0.73,-2.56
80,0.14,0.99,-0.20,-3.78,-1.16,-2.26
100,0.15,0.99,-0.20,-4.15,-1.95,-0.92
120,0.16,0.98,-0.21,-4.09,-1.34,-0.73
140,0.16,0.98,-0.21,-4.64,-0.98,-1.34
160,0.15,0.98,-0.20,-5.43,-0.98,-1.65
180,0.16,0.98,-0.20,-5.49,-1.28,-1.65
200,0.15,0.99,-0.20,-4.39,-0.55,-2.75
220,0.16,0.98,-0.20,-4.39,0.31,-3.11
240,0.16,0.98,-0.20,-6.04,-0.98,-2.62
260,0.15,0.99,-0.18,-6.04,-1.34,-3.23
280,0.14,0.99,-0.18,-5.25,-1.77,-2.75
300,0.14,0.98,-0.19,-5.25,-1.89,-1.89
320,0.15,0.98,-0.19,-6.59,-2.08,-1.10
340,0.16,0.99,-0.18,-5.74,-1.34,-1.77
360,0.15,0.99,-0.17,-4.76,-1.04,-2.62
380,0.15,0.99,-0.18,-2.69,-0.18,-3.05
400,0.15,0.99,-0.18,-2.44,0.92,-4.52
420,0.16,1.00,-0.17,-2.50,0.85,-5.13
440,0.14,0.99,-0.17,-1.89,0.12,-3.97
460,0.14,0.99,-0.18,-1.53,-1.28,-2.50
480,0.15,0.99,-0.18,-1.10,-0.37,-1.53
500,0.15,0.99,-0.18,-0.31,0.24,-1.59
520,0.15,0.99,-0.18,-0.37,0.06,-1.71
540,0.15,0.99,-0.18,-0.55,0.43,-2.32
560,0.13,1.00,-0.18,-0.37,0.06,-2.01
580,0.14,0.99,-0.18,0.24,-1.83,1.10
600,0.15,0.99,-0.18,0.79,-1.28,1.77
620,0.15,0.98,-0.19,0.00,-0.73,1.28
640,0.15,0.99,-0.19,-1.65,-0.24,0.31
660,0.14,0.99,-0.18,-2.75,-0.18,0.18
680,0.14,1.00,-0.18,-3.23,-0.79,0.55
700,0.15,0.99,-0.18,-4.33,-1.28,1.83
720,0.15,0.99,-0.18,-4.76,-1.34,1.89
740,0.15,0.99,-0.17,-5.07,-1.04,1.89
760,0.16,0.99,-0.17,-5.25,-0.24,1.28
780,0.14,1.00,-0.17,-4.88,-0.55,1.71
800,0.14,1.00,-0.17,-5.43,-1.46,2.44
820,0.16,1.00,-0.15,-5.25,-2.08,4.94
840,0.15,1.00,-0.16,-5.31,-1.40,5.80
860,0.14,1.00,-0.16,-6.53,-1.95,7.14
880,0.15,1.01,-0.17,-7.81,-3.17,11.72
900,0.15,1.02,-0.14,-9.28,-6.04,16.24
920,0.16,1.03,-0.13,-8.85,-6.35,20.63
940,0.18,1.02,-0.16,-7.87,-7.75,22.95
960,0.20,1.02,-0.19,-7.57,-10.44,23.50
980,0.18,1.08,-0.18,-9.16,-11.84,24.54
1000,0.20,1.12,-0.19,-11.23,-12.33,27.10
1020,0.19,1.07,-0.25,-14.65,-10.38,32.65
1040,0.21,1.07,-0.20,-19.17,-12.57,35.28
1060,0.23,1.04,-0.16,-23.19,-13.00,37.66
1080,0.26,1.01,-0.08,-25.82,-14.10,39.86
1100,0.26,1.03,-0.05,-24.90,-13.49,41.26
1120,0.27,1.04,-0.06,-22.64,-13.61,44.01
1140,0.33,0.98,-0.07,-21.91,-13.43,50.78
1160,0.37,0.88,-0.07,-21.91,-11.78,50.72
1180,0.40,0.85,-0.04,-23.19,-9.77,48.28
1200,0.43,0.80,-0.02,-21.30,-8.97,40.53
1220,0.43,0.77,-0.04,-18.19,-6.84,35.71
1240,0.49,0.76,0.05,-13.98,-12.27,28.26
1260,0.51,0.75,0.08,-7.69,-6.84,15.99
1280,0.50,0.77,0.05,-3.30,-4.46,6.84
1300,0.48,0.84,0.03,0.85,-2.38,0.31
1320,0.47,0.87,0.03,3.97,-2.20,-6.53
1340,0.48,0.84,0.02,7.75,0.61,-11.60
1360,0.46,0.85,0.01,9.34,3.11,-16.72
1380,0.44,0.87,-0.02,9.40,4.52,-20.63
1400,0.43,0.91,-0.04,10.19,4.58,-24.29
1420,0.41,0.94,-0.03,10.99,4.58,-25.27
1440,0.39,0.96,-0.01,11.05,4.33,-25.21
1460,0.39,0.92,-0.05,11.23,5.74,-24.60
1480,0.40,0.88,-0.07,10.56,6.35,-25.94
1500,0.39,0.91,-0.10,9.46,7.32,-29.60
1520,0.33,0.94,0.00,10.01,6.96,-32.29
1540,0.29,1.04,0.00,13.37,7.02,-31.01
1560,0.29,1.06,-0.02,15.63,4.94,-25.45
1580,0.32,0.92,-0.17,16.05,9.16,-19.35
1600,0.37,0.86,-0.25,9.89,12.27,-23.25
1620,0.29,0.93,-0.14,3.36,9.83,-30.33
1640,0.21,1.12,0.02,6.41,1.53,-23.62
1660,0.27,1.05,-0.08,10.44,3.30,-16.17
1680,0.31,0.96,-0.18,9.83,5.49,-15.56
1700,0.32,0.89,-0.19,5.86,9.83,-22.77
1720,0.17,1.06,-0.13,0.12,11.47,-25.94
1740,0.19,1.15,-0.12,1.04,1.53,-16.17
1760,0.22,1.11,-0.14,1.71,1.22,-7.14
1780,0.25,1.00,-0.17,0.61,1.89,-1.71
1800,0.26,0.96,-0.14,-0.43,2.01,-1.22
1820,0.28,0.92,-0.12,-2.50,2.26,-2.50
1840,0.28,0.90,-0.06,-2.87,4.52,-9.52
1860,0.26,0.93,-0.07,-2.32,6.47,-14.16
1880,0.24,0.96,-0.10,-1.04,6.84,-15.75
1900,0.26,0.94,-0.14,-1.22,7.63,-18.55
1920,0.23,0.97,-0.18,-3.30,9.16,-22.16
1940,0.24,0.97,-0.17,-6.47,10.19,-24.84
1960,0.06,1.15,-0.08,-4.58,12.21,-25.76
1980,0.13,1.10,-0.06,0.37,-0.55,-12.08
2000,0.19,1.01,-0.12,-0.12,1.46,-5.19
2020,0.20,0.99,-0.12,-1.40,2.69,-5.00
2040,0.20,0.98,-0.12,-0.92,3.85,-5.68
2060,0.20,0.98,-0.13,-1.04,3.91,-7.02
2080,0.20,0.98,-0.13,-1.46,4.15,-9.52
2100,0.17,1.00,-0.12,-0.79,5.62,-11.72
2120,0.15,1.01,-0.10,0.43,3.42,-10.50
2140,0.16,1.01,-0.11,1.16,1.83,-5.86
2160,0.18,1.00,-0.11,1.65,3.11,-3.30
2180,0.17,1.00,-0.12,1.89,4.46,-3.78
2200,0.17,1.00,-0.12,2.08,4.09,-3.23
2220,0.16,1.00,-0.12,1.40,6.35,-3.17
2240,0.14,1.01,-0.12,0.73,4.39,-2.14
2260,0.16,1.00,-0.13,-0.06,0.73,0.00
2280,0.17,1.00,-0.13,-0.43,1.34,0.18
