timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.23,0.98,-0.15,-2.75,-0.18,-0.61
20,0.23,0.97,-0.18,-3.42,-0.24,-0.98
40,0.22,0.98,-0.16,-4.03,-0.67,-1.40
60,0.23,0.98,-0.16,-4.21,-0.79,-1.22
80,0.22,0.98,-0.16,-4.52,-0.98,-1.34
100,0.23,0.98,-0.16,-5.13,-1.83,-0.73
120,0.22,0.99,-0.15,-5.86,-2.14,-0.43
140,0.23,0.98,-0.15,-5.86,-2.87,-0.06
160,0.23,0.99,-0.14,-6.47,-2.93,0.06
180,0.23,0.99,-0.14,-6.53,-2.87,0.24
200,0.23,0.98,-0.14,-6.77,-2.87,0.55
220,0.23,0.99,-0.13,-5.80,-2.56,0.61
240,0.23,0.98,-0.14,-5.49,-2.20,0.73
260,0.23,0.99,-0.14,-5.80,-2.69,0.79
280,0.23,0.99,-0.12,-6.23,-2.81,1.10
300,0.22,1.01,-0.12,-4.94,-3.36,1.53
320,0.22,1.01,-0.14,-5.19,-3.42,2.99
340,0.25,0.98,-0.14,-5.19,-3.66,4.58
360,0.20,1.06,-0.16,-5.98,-3.42,4.94
380,0.20,1.07,-0.10,-6.41,-8.67,11.11
400,0.24,0.99,-0.08,-4.21,-7.93,17.70
420,0.29,0.92,-0.16,-4.82,-3.48,14.59
440,0.29,0.92,-0.16,-6.47,-2.08,11.11
460,0.26,1.00,-0.13,-8.61,-3.36,8.42
480,0.24,1.06,-0.10,-9.16,-6.23,12.27
500,0.27,1.05,-0.11,-9.16,-8.36,17.52
520,0.23,1.11,-0.13,-9.46,-7.32,24.84
540,0.27,1.06,-0.12,-13.43,-10.86,32.96
560,0.32,1.00,-0.11,-15.87,-10.86,36.80
580,0.31,1.01,-0.17,-19.29,-7.39,37.48
600,0.30,1.00,-0.11,-27.10,-8.18,41.56
620,0.35,0.97,-0.07,-31.07,-11.05,44.62
640,0.36,0.93,-0.04,-32.53,-8.54,45.65
660,0.40,0.93,-0.07,-33.94,-7.08,41.63
680,0.41,0.95,-0.02,-34.55,-7.57,41.56
700,0.43,0.91,0.01,-35.03,-8.00,42.79
720,0.50,0.75,0.01,-34.12,-9.46,39.25
740,0.52,0.72,0.01,-33.39,-6.77,30.58
760,0.54,0.68,0.11,-30.94,-5.86,21.30
780,0.59,0.55,0.17,-18.49,-3.78,1.34
800,0.66,0.39,0.20,-9.83,-0.79,-20.57
820,0.60,0.47,0.28,-0.98,4.52,-50.35
840,0.41,0.84,0.23,24.48,4.58,-73.18
860,0.35,0.94,0.13,35.28,6.65,-75.68
880,0.43,0.73,0.03,37.23,3.11,-73.73
900,0.40,0.68,-0.09,31.56,16.17,-91.74
920,0.22,1.09,-0.14,17.64,17.40,-97.84
940,0.07,1.36,-0.05,14.59,17.03,-88.50
960,0.12,1.53,0.13,21.42,5.98,-51.27
980,0.16,1.33,-0.12,47.12,23.56,-33.33
1000,0.34,1.06,-0.27,53.71,28.50,-20.75
1020,0.15,1.06,-0.18,39.61,33.94,-21.97
1040,0.13,1.04,-0.08,10.38,17.33,-10.56
1060,0.18,1.02,-0.04,4.70,11.54,-5.25
1080,0.20,1.00,-0.07,7.39,12.15,-2.56
1100,0.21,0.98,-0.12,13.18,9.83,-4.03
1120,0.19,0.98,-0.15,13.06,8.18,-5.86
1140,0.19,0.98,-0.15,9.28,4.64,-6.41
1160,0.19,0.99,-0.13,3.05,1.22,-5.98
1180,0.19,0.99,-0.12,1.22,0.24,-6.04
1200,0.18,1.00,-0.11,0.49,0.85,-5.07
1220,0.17,0.97,-0.11,0.98,1.10,-2.08
1240,0.18,1.00,-0.12,0.18,1.22,-0.12
1260,0.19,1.01,-0.09,0.24,0.67,0.92
1280,0.20,0.98,-0.14,2.26,1.40,0.61
1300,0.19,0.99,-0.14,0.31,1.28,0.37
1320,0.19,0.99,-0.13,-2.01,1.34,-0.18
1340,0.18,1.00,-0.12,-2.32,0.85,0.24
1360,0.19,0.99,-0.13,-2.20,0.55,0.85
1380,0.19,0.99,-0.13,-2.20,0.31,0.98
1400,0.19,0.99,-0.13,-2.56,0.43,1.40
1420,0.18,0.99,-0.13,-4.21,-0.67,1.95
1440,0.17,1.00,-0.12,-5.37,-2.01,2.38
1460,0.14,1.00,-0.10,-6.65,-4.88,4.52
1480,0.18,1.01,-0.14,-15.14,-14.53,13.73
1500,0.21,1.01,-0.10,-19.47,-18.62,16.48
1520,0.18,1.05,-0.10,-20.20,-17.70,17.27
1540,0.20,1.12,-0.07,-20.87,-18.49,27.89
1560,0.19,1.16,-0.13,-13.92,-15.44,34.48
1580,0.22,1.24,-0.11,-8.67,-17.64,42.91
1600,0.26,1.11,-0.24,-8.91,-6.90,56.27
1620,0.25,1.12,-0.23,-16.30,-10.62,59.88
1640,0.28,1.06,-0.17,-24.48,-14.47,64.33
1660,0.30,0.99,-0.09,-34.97,-14.40,66.77
1680,0.33,0.94,-0.03,-39.49,-14.77,68.85
1700,0.39,0.85,0.03,-42.18,-12.82,70.86
1720,0.46,0.75,0.08,-40.04,-6.47,63.17
1740,0.52,0.65,0.07,-35.71,-2.87,53.10
1760,0.56,0.61,0.12,-29.97,-2.20,39.67
1780,0.58,0.60,0.15,-23.44,-2.44,17.33
1800,0.57,0.65,0.17,-11.29,-2.50,3.72
1820,0.56,0.70,0.18,0.00,-2.01,-9.40
1840,0.59,0.63,0.21,9.83,0.12,-21.61
1860,0.57,0.52,0.13,24.23,5.86,-49.68
1880,0.52,0.55,-0.02,26.86,9.28,-68.54
1900,0.37,0.93,-0.07,23.13,9.40,-86.06
1920,0.28,1.17,0.11,19.65,-1.65,-67.44
1940,0.39,0.84,0.07,22.34,4.88,-56.15
1960,0.41,0.56,-0.06,23.68,16.17,-68.42
1980,0.01,1.42,-0.05,23.44,18.13,-81.05
2000,0.22,1.50,-0.04,33.51,3.30,-50.96
2020,0.24,1.26,-0.28,42.42,12.08,-27.89
2040,0.35,0.84,-0.38,10.07,8.61,-24.72
2060,0.18,1.06,-0.19,-12.39,17.52,-41.69
2080,-0.09,1.30,0.17,-8.91,-3.48,-27.40
2100,0.26,1.02,-0.03,-8.06,-8.91,-1.71
2120,0.27,0.98,-0.05,-4.88,-7.87,-4.58
2140,0.29,0.94,-0.09,-5.00,0.12,-6.77
2160,0.25,0.97,-0.07,-7.57,-0.79,-14.34
2180,0.25,0.99,-0.03,-2.87,-0.18,-16.11
2200,0.26,0.99,-0.05,1.83,0.79,-18.49
2220,0.19,1.01,-0.05,7.20,3.05,-21.67
2240,0.11,1.04,-0.04,5.43,-0.92,-12.33
2260,0.19,1.00,-0.05,-0.55,-3.30,-5.00
2280,0.19,1.00,-0.06,-1.40,-0.55,-4.09
2300,0.19,1.00,-0.04,-1.46,1.46,-2.99
2320,0.19,1.00,-0.04,-0.61,2.50,-2.32
2340,0.20,1.00,-0.05,1.04,3.36,-1.83
2360,0.19,1.00,-0.06,1.65,3.91,-1.40
2380,0.19,1.00,-0.06,2.14,3.91,-1.65
2400,0.19,1.00,-0.06,1.59,2.56,-0.79
2420,0.19,1.00,-0.06,1.53,1.83,-0.73
2440,0.19,1.00,-0.06,1.28,1.71,-0.55
