timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.13,0.99,-0.17,-4.52,-5.74,11.78
20,0.17,0.98,-0.18,-6.90,-6.29,11.60
40,0.18,0.98,-0.18,-8.73,-4.39,7.87
60,0.17,1.00,-0.17,-8.67,-2.62,6.41
80,0.13,1.03,-0.14,-7.51,-3.54,7.26
100,0.14,1.07,-0.14,-4.39,-8.67,14.47
120,0.14,1.05,-0.14,-4.27,-9.77,18.31
140,0.12,1.13,-0.18,-4.15,-10.25,22.46
160,0.18,1.10,-0.14,-4.64,-5.00,27.65
180,0.15,1.15,-0.28,-9.22,-7.45,33.08
200,0.19,1.10,-0.26,-10.74,-11.41,40.10
220,0.20,1.10,-0.25,-15.69,-13.98,46.63
240,0.20,1.11,-0.20,-21.67,-17.21,51.82
260,0.21,1.06,-0.13,-23.25,-21.24,58.35
280,0.28,1.03,-0.07,-24.23,-24.84,59.94
300,0.36,0.92,0.01,-22.83,-19.96,58.78
320,0.38,0.88,-0.04,-20.26,-14.04,55.48
340,0.44,0.84,-0.02,-19.41,-19.53,53.10
360,0.42,0.83,-0.06,-19.41,-14.10,45.04
380,0.44,0.78,-0.10,-18.55,-14.22,40.22
400,0.44,0.85,-0.10,-20.39,-14.40,36.19
420,0.49,0.78,-0.05,-19.47,-16.05,29.60
440,0.49,0.80,-0.02,-18.37,-13.24,22.83
460,0.50,0.79,0.03,-16.48,-12.63,19.35
480,0.54,0.79,0.08,-13.18,-9.28,15.14
500,0.53,0.76,0.07,-10.86,-2.56,10.62
520,0.53,0.78,0.08,-7.81,0.49,2.99
540,0.54,0.79,0.06,-3.23,3.66,-4.58
560,0.55,0.78,0.06,1.65,5.92,-13.85
580,0.57,0.78,0.11,6.84,8.30,-24.29
600,0.52,0.65,0.17,16.36,14.28,-38.21
620,0.38,0.97,-0.04,19.96,20.02,-42.48
640,0.40,1.00,-0.11,20.69,9.34,-35.89
660,0.40,0.98,-0.21,16.78,10.01,-29.72
680,0.46,0.93,-0.15,9.34,7.32,-28.08
700,0.44,0.84,0.05,8.12,7.51,-33.81
720,0.35,0.97,0.14,12.76,9.46,-34.30
740,0.32,1.10,-0.04,18.37,2.87,-21.12
760,0.39,0.93,-0.14,16.54,8.42,-12.82
780,0.38,0.90,-0.28,10.86,15.20,-16.66
800,0.38,0.95,-0.14,2.20,8.48,-22.71
820,0.38,0.92,0.03,0.55,10.31,-27.10
840,0.30,0.97,0.01,2.81,16.78,-29.42
860,0.31,0.96,-0.08,8.48,12.70,-24.11
880,0.32,0.97,-0.11,10.31,12.27,-25.51
900,0.37,0.86,-0.18,10.93,13.49,-28.44
920,0.36,0.77,-0.02,6.29,18.55,-43.40
940,0.21,0.99,-0.08,3.60,27.28,-51.15
960,0.19,1.09,-0.20,1.16,20.81,-44.43
980,0.21,1.13,-0.35,-2.99,23.44,-36.07
1000,0.16,1.11,-0.19,-8.61,12.76,-30.94
1020,0.20,1.13,-0.06,-8.67,6.41,-24.72
1040,0.17,1.07,-0.06,-4.52,11.23,-15.75
1060,0.15,1.05,-0.08,-1.34,3.23,-6.71
1080,0.23,0.96,-0.15,-0.55,0.43,-2.62
1100,0.22,0.96,-0.15,-3.17,1.83,-7.45
1120,0.20,1.00,-0.11,-4.39,0.24,-9.28
1140,0.22,0.99,-0.11,-3.48,0.18,-9.64
1160,0.22,0.97,-0.13,-2.69,5.31,-12.08
1180,0.20,0.99,-0.12,-0.37,8.91,-16.91
1200,0.17,1.01,-0.08,0.55,9.77,-17.94
1220,0.11,1.03,-0.09,0.43,8.79,-14.28
1240,0.15,1.01,-0.10,0.24,0.06,-6.71
1260,0.16,1.00,-0.10,0.00,1.04,-4.94
1280,0.16,1.00,-0.12,0.31,3.11,-4.58
1300,0.15,1.00,-0.12,-0.18,2.75,-4.82
1320,0.16,1.00,-0.12,-0.98,2.20,-4.52
1340,0.15,1.00,-0.12,-1.83,2.38,-4.58
1360,0.15,1.00,-0.11,-2.50,1.71,-4.15
1380,0.15,1.00,-0.11,-2.38,1.22,-3.54
1400,0.15,1.00,-0.11,-2.08,0.43,-2.81
1420,0.15,1.00,-0.12,-2.01,0.12,-1.65
1440,0.15,1.00,-0.11,-1.65,0.61,-1.65
1460,0.15,1.00,-0.12,-1.77,0.49,-1.34
1480,0.15,1.00,-0.12,-1.95,0.73,-1.28
1500,0.15,1.00,-0.11,-2.08,0.73,-1.04
1520,0.15,1.00,-0.12,-2.01,0.49,-0.73
1540,0.15,1.00,-0.11,-1.71,0.73,-0.79
1560,0.14,1.00,-0.11,-1.28,1.22,-0.55
1580,0.15,1.00,-0.11,-1.53,0.31,0.00
1600,0.15,1.00,-0.12,-2.20,0.18,0.18
1620,0.15,1.00,-0.12,-1.83,0.85,-0.06
1640,0.15,1.00,-0.11,-1.83,1.22,-0.18
1660,0.14,1.00,-0.11,-1.65,0.98,0.06
1680,0.15,1.00,-0.11,-1.46,0.12,0.79
1700,0.15,1.00,-0.12,-1.28,0.43,1.04
1720,0.16,1.00,-0.12,-1.65,0.55,0.98
1740,0.15,1.00,-0.11,-2.08,1.22,0.61
1760,0.14,1.00,-0.11,-2.26,1.04,1.04
1780,0.15,1.00,-0.10,-2.08,0.18,2.08
1800,0.15,1.00,-0.11,-1.89,0.12,2.38
1820,0.15,1.00,-0.11,-2.62,0.24,2.93
1840,0.12,1.01,-0.09,-4.64,-0.79,4.88
1860,0.15,1.00,-0.11,-7.81,-4.39,10.31
1880,0.15,1.01,-0.11,-8.91,-6.59,12.76
1900,0.15,1.01,-0.09,-11.17,-8.91,15.69
1920,0.17,1.02,-0.10,-12.39,-11.17,19.96
1940,0.21,1.00,-0.11,-10.62,-11.05,21.00
1960,0.19,1.06,-0.17,-9.77,-8.24,21.55
1980,0.17,1.15,-0.11,-9.77,-9.89,23.19
2000,0.15,1.28,-0.12,-15.20,-7.45,34.55
2020,0.18,1.20,-0.18,-18.55,-5.68,46.26
2040,0.19,1.17,-0.22,-24.17,-4.76,52.55
2060,0.26,1.01,-0.11,-32.29,-10.56,58.11
2080,0.27,1.00,-0.04,-35.52,-9.95,58.41
2100,0.30,0.93,0.02,-35.22,-8.18,60.36
2120,0.38,0.87,0.05,-31.07,-6.96,61.40
2140,0.41,0.83,0.09,-26.86,-6.59,56.52
2160,0.43,0.78,0.09,-21.30,-6.41,51.33
2180,0.47,0.74,0.10,-14.59,-10.38,39.06
2200,0.49,0.72,0.09,-10.56,-8.61,31.74
2220,0.49,0.75,0.09,-5.86,-6.59,21.97
2240,0.48,0.83,0.10,0.24,-3.91,11.96
2260,0.50,0.84,0.08,2.50,-4.39,8.97
2280,0.48,0.84,0.03,2.87,-0.43,4.58
2300,0.48,0.87,0.00,1.89,1.53,0.31
2320,0.50,0.84,0.03,0.98,1.10,-2.99
2340,0.51,0.79,0.05,1.71,2.26,-8.67
