timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.17,1.00,-0.14,-2.01,-2.44,2.26
20,0.18,0.99,-0.14,-3.54,-3.85,3.60
40,0.19,0.98,-0.15,-4.39,-2.93,3.85
60,0.19,0.99,-0.13,-4.64,-2.75,2.81
80,0.19,0.99,-0.13,-3.17,-2.14,2.20
100,0.20,0.97,-0.15,-2.62,-1.59,1.40
120,0.19,0.98,-0.14,-4.27,-0.24,-0.92
140,0.17,1.01,-0.12,-5.19,-0.85,-1.16
160,0.17,1.00,-0.12,-4.52,-1.83,0.92
180,0.17,1.01,-0.11,-4.82,-2.01,2.38
200,0.18,1.00,-0.11,-3.36,-1.53,4.39
220,0.21,0.98,-0.14,-3.05,-0.67,4.39
240,0.20,0.98,-0.13,-3.91,0.18,2.93
260,0.17,1.01,-0.11,-4.46,-1.34,4.94
280,0.17,1.03,-0.10,-4.94,-2.50,10.31
300,0.20,1.02,-0.09,-3.91,-3.30,14.47
320,0.20,1.03,-0.10,-0.79,-1.04,16.60
340,0.22,0.98,-0.13,2.69,-0.12,16.24
360,0.23,0.97,-0.15,2.26,-0.49,15.32
380,0.18,1.07,-0.20,-0.85,-1.34,15.63
400,0.19,1.14,-0.13,-3.54,-6.84,26.43
420,0.17,1.19,-0.19,-3.60,-4.39,33.33
440,0.17,1.21,-0.23,-4.70,-8.00,43.76
460,0.19,1.20,-0.18,-13.43,-13.55,60.91
480,0.21,1.21,-0.19,-17.64,-14.89,70.31
500,0.21,1.17,-0.13,-19.96,-19.29,78.86
520,0.34,0.93,-0.08,-23.74,-18.62,88.81
540,0.37,0.92,-0.09,-24.78,-17.76,83.68
560,0.39,0.89,-0.04,-27.95,-17.46,83.80
580,0.44,0.90,0.04,-24.35,-30.94,81.85
600,0.53,0.80,0.08,-22.71,-36.44,82.03
620,0.58,0.77,0.08,-20.20,-37.41,72.75
640,0.62,0.70,0.07,-17.33,-40.28,61.16
660,0.64,0.62,0.08,-13.49,-31.19,48.34
680,0.63,0.56,0.06,-8.85,-26.49,39.06
700,0.65,0.58,0.10,-8.06,-12.94,27.16
720,0.68,0.49,0.04,-10.13,5.43,20.81
740,0.67,0.50,0.03,-6.96,9.77,5.62
760,0.67,0.49,-0.02,-3.85,18.80,-3.72
780,0.69,0.55,0.08,4.09,6.77,-30.03
800,0.65,0.62,0.19,12.08,4.58,-42.66
820,0.58,0.81,0.16,14.59,14.89,-52.67
840,0.66,0.74,0.13,19.96,21.85,-55.11
860,0.64,0.59,0.04,21.67,31.92,-68.60
880,0.41,0.60,-0.13,25.57,37.48,-80.63
900,0.44,0.78,-0.18,16.85,26.18,-78.55
920,0.35,1.14,-0.15,12.57,26.92,-77.82
940,0.37,1.13,-0.13,11.78,15.87,-72.20
960,0.47,0.99,0.13,8.61,8.67,-72.08
980,0.42,0.73,0.06,12.70,28.69,-74.52
1000,0.08,1.30,-0.04,17.21,38.64,-75.74
1020,0.25,1.15,-0.23,16.48,16.24,-43.52
1040,0.25,1.18,-0.21,16.30,9.40,-37.35
1060,0.29,1.11,-0.20,10.62,7.75,-29.91
1080,0.41,0.83,-0.04,3.91,16.05,-35.40
1100,0.27,0.97,-0.22,0.31,37.84,-51.51
1120,-0.04,1.41,-0.47,-7.39,31.62,-48.95
1140,0.06,1.39,-0.00,-10.50,-2.87,-12.39
1160,0.25,1.01,-0.06,0.18,-2.87,1.34
1180,0.28,0.91,-0.12,2.26,2.32,-0.85
1200,0.31,0.88,-0.13,-0.67,5.74,-8.54
1220,0.35,0.83,-0.19,-5.13,13.67,-24.90
1240,0.15,1.02,-0.13,-5.68,19.53,-35.52
1260,-0.01,1.19,0.00,-0.85,5.43,-24.48
1280,0.21,1.02,-0.09,-0.43,-7.75,0.67
1300,0.22,0.99,-0.10,-2.87,-3.42,-0.55
1320,0.22,0.98,-0.11,-1.34,0.00,-0.73
1340,0.23,0.98,-0.11,-2.08,0.37,-2.50
1360,0.24,0.97,-0.12,-2.81,2.20,-5.19
1380,0.22,0.98,-0.13,-3.60,6.96,-8.42
1400,0.12,1.04,-0.06,-1.71,5.68,-7.69
1420,0.18,1.02,-0.07,-0.18,-0.92,-0.67
1440,0.20,0.99,-0.11,-0.37,0.12,1.28
1460,0.20,0.99,-0.10,0.67,1.28,0.06
1480,0.21,0.99,-0.11,1.83,2.08,-0.24
1500,0.22,0.98,-0.12,2.38,4.03,-1.53
1520,0.21,0.98,-0.12,2.20,8.48,-5.00
1540,0.12,1.04,-0.08,2.20,6.16,-2.75
1560,0.19,0.99,-0.12,2.14,0.43,1.89
1580,0.19,0.99,-0.12,0.31,1.59,2.08
1600,0.20,0.98,-0.13,-2.32,0.85,0.98
1620,0.19,0.99,-0.12,-4.70,0.92,0.43
1640,0.15,1.02,-0.10,-5.68,-0.12,1.40
1660,0.14,1.03,-0.09,-8.48,-3.17,7.20
1680,0.15,1.05,-0.10,-9.95,-6.84,13.67
1700,0.16,1.08,-0.08,-10.86,-9.22,21.73
1720,0.16,1.12,-0.14,-8.97,-9.58,31.74
1740,0.22,1.15,-0.19,-6.35,-13.85,37.84
1760,0.19,1.28,-0.18,-7.57,-13.43,42.24
1780,0.18,1.24,-0.14,-10.99,-14.53,58.17
1800,0.24,1.13,-0.17,-16.42,-16.54,67.93
1820,0.28,1.03,-0.20,-24.96,-15.26,71.04
1840,0.26,1.04,-0.12,-33.87,-18.55,72.94
1860,0.28,1.03,-0.04,-36.87,-19.47,76.78
1880,0.37,0.88,-0.01,-39.92,-20.26,82.34
1900,0.36,0.93,-0.02,-43.40,-16.36,81.91
1920,0.49,0.73,-0.02,-47.61,-16.66,84.17
1940,0.54,0.68,0.01,-47.36,-17.40,77.03
1960,0.63,0.59,0.10,-44.62,-18.43,62.50
1980,0.62,0.54,0.14,-32.84,-12.88,49.07
2000,0.66,0.52,0.22,-24.72,-12.08,35.52
2020,0.69,0.55,0.24,-15.20,-6.71,19.78
2040,0.71,0.52,0.30,2.69,-2.14,-4.15
2060,0.68,0.54,0.27,9.95,3.85,-20.81
2080,0.60,0.73,0.16,15.44,10.13,-35.40
