timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.17,0.99,-0.15,-3.11,0.37,-2.26
20,0.17,0.99,-0.15,-3.48,0.18,-2.50
40,0.17,0.99,-0.15,-3.85,0.00,-2.69
60,0.16,1.00,-0.14,-4.03,-0.79,-2.50
80,0.17,1.00,-0.14,-3.48,-0.92,-2.01
100,0.17,0.99,-0.15,-3.11,-0.67,-1.71
120,0.17,0.99,-0.15,-3.48,-0.92,-1.83
140,0.17,0.99,-0.15,-4.33,-0.06,-2.62
160,0.16,1.00,-0.14,-5.13,-0.43,-3.05
180,0.16,1.00,-0.12,-4.09,-1.46,-2.81
200,0.16,1.00,-0.13,-2.20,-1.40,-1.83
220,0.16,0.99,-0.14,-1.83,-0.98,-1.40
240,0.16,0.99,-0.14,-2.38,-0.37,-1.77
260,0.16,1.00,-0.14,-2.75,-0.24,-1.53
280,0.16,1.00,-0.13,-2.26,-0.98,-0.92
300,0.16,1.00,-0.13,-0.85,-1.34,0.49
320,0.16,1.00,-0.13,-0.61,-1.89,1.22
340,0.17,1.00,-0.14,-0.98,-1.77,1.53
360,0.17,0.99,-0.14,-1.40,-1.16,1.59
380,0.16,1.00,-0.14,-2.62,-1.34,1.04
400,0.16,1.00,-0.13,-3.42,-1.71,1.53
420,0.16,1.00,-0.13,-3.48,-2.08,2.20
440,0.18,1.00,-0.13,-3.91,-2.56,2.75
460,0.18,0.99,-0.13,-3.42,-1.89,2.69
480,0.18,0.99,-0.14,-3.78,-1.95,2.44
500,0.17,0.99,-0.13,-5.07,-1.65,2.32
520,0.17,1.00,-0.12,-5.92,-1.59,2.44
540,0.18,0.99,-0.12,-6.10,-1.65,2.44
560,0.19,0.99,-0.12,-5.13,-0.31,2.08
580,0.19,0.99,-0.12,-3.23,0.37,1.04
600,0.18,1.00,-0.11,-2.08,0.31,0.55
620,0.18,1.00,-0.11,-0.18,0.31,1.28
640,0.18,1.00,-0.12,0.37,0.18,1.77
660,0.18,1.00,-0.12,0.37,0.12,1.71
680,0.19,0.99,-0.13,0.79,0.98,1.71
700,0.18,1.00,-0.13,-0.37,1.22,1.22
720,0.18,1.00,-0.11,-1.16,-0.12,2.01
740,0.19,1.00,-0.11,-1.04,0.12,3.48
760,0.20,0.99,-0.12,-0.61,0.61,3.66
780,0.20,0.99,-0.12,-0.73,0.79,2.87
800,0.19,0.99,-0.13,-0.55,1.46,2.50
820,0.19,1.00,-0.12,-1.28,0.67,2.87
840,0.19,1.00,-0.11,-2.01,-0.06,4.82
860,0.21,0.99,-0.12,-2.50,0.61,5.13
880,0.21,0.99,-0.11,-2.87,0.98,4.21
900,0.21,0.99,-0.12,-1.65,1.83,3.23
920,0.21,0.99,-0.13,-1.16,1.34,2.50
940,0.18,1.02,-0.11,-2.62,0.31,3.78
960,0.20,1.01,-0.10,-3.30,-1.95,8.30
980,0.22,0.99,-0.12,-3.36,-0.85,9.70
1000,0.23,0.98,-0.14,-5.31,0.00,7.69
1020,0.21,1.00,-0.12,-6.41,0.12,6.96
1040,0.20,1.01,-0.13,-7.32,-0.73,8.30
1060,0.23,1.00,-0.13,-8.61,-2.14,10.25
1080,0.22,1.02,-0.13,-11.23,-2.62,10.19
1100,0.25,1.00,-0.09,-11.90,-3.23,11.29
1120,0.25,0.99,-0.11,-11.54,-1.22,11.17
1140,0.23,1.04,-0.13,-12.15,-1.83,11.96
1160,0.24,1.04,-0.09,-13.12,-4.39,15.50
1180,0.26,1.01,-0.12,-15.14,-5.07,20.20
1200,0.28,0.98,-0.12,-18.25,-5.55,21.30
1220,0.27,1.01,-0.11,-22.09,-5.74,21.18
1240,0.24,1.07,-0.05,-23.38,-8.67,26.18
1260,0.28,1.08,0.00,-23.44,-9.77,31.43
1280,0.29,1.06,0.02,-20.26,-6.84,35.58
1300,0.31,1.01,-0.00,-15.08,-5.00,40.28
1320,0.37,0.91,-0.02,-14.22,-4.39,40.16
1340,0.36,0.94,-0.03,-13.31,-2.93,37.35
1360,0.35,0.98,0.01,-12.51,-4.58,37.05
1380,0.36,1.04,0.03,-11.66,-6.71,41.75
1400,0.38,1.00,0.03,-8.67,-6.84,46.02
1420,0.43,0.90,0.03,-7.69,-5.98,47.97
1440,0.47,0.74,-0.01,-7.81,-1.59,43.58
1460,0.49,0.79,-0.01,-8.12,-5.25,36.07
1480,0.50,0.79,-0.00,-9.58,-5.25,31.80
1500,0.52,0.79,0.01,-9.70,-7.93,26.31
1520,0.51,0.81,0.01,-12.27,-6.41,21.91
1540,0.51,0.86,0.03,-11.47,-6.35,17.88
