timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.22,1.00,-0.09,-7.81,-4.03,1.65
20,0.23,0.98,-0.11,-5.62,-4.03,2.08
40,0.23,0.99,-0.11,-5.37,-3.91,1.89
60,0.22,0.99,-0.09,-5.55,-3.91,1.95
80,0.24,0.98,-0.09,-4.82,-4.27,2.26
100,0.25,0.96,-0.09,-4.21,-3.11,0.79
120,0.25,0.96,-0.09,-2.87,-1.46,-1.22
140,0.25,0.96,-0.10,-2.81,0.06,-3.72
160,0.22,1.00,-0.09,-3.17,0.98,-5.55
180,0.19,1.03,-0.10,-2.38,-0.24,-2.08
200,0.22,1.01,-0.08,-2.50,-1.83,1.83
220,0.24,0.99,-0.09,-1.83,-1.04,2.93
240,0.25,0.96,-0.10,-2.75,-0.06,2.32
260,0.23,0.98,-0.10,-4.03,1.16,1.59
280,0.17,1.07,-0.12,-4.94,0.37,2.69
300,0.19,1.11,-0.10,-7.45,-5.43,15.63
320,0.22,1.07,-0.14,-9.16,-4.76,21.55
340,0.24,1.04,-0.20,-13.61,-1.04,23.32
360,0.22,1.09,-0.16,-21.79,-3.05,26.86
380,0.19,1.20,-0.11,-25.63,-6.59,33.69
400,0.23,1.11,-0.05,-26.73,-10.31,44.98
420,0.24,1.12,-0.07,-27.04,-6.41,53.59
440,0.27,1.08,-0.03,-27.04,-8.48,59.57
460,0.34,0.94,0.02,-25.27,-10.80,62.99
480,0.31,1.01,0.00,-23.32,-7.81,62.99
500,0.41,0.94,0.07,-23.80,-8.79,66.83
520,0.39,0.98,0.04,-21.73,-5.31,65.12
540,0.45,0.93,0.06,-19.96,-8.54,69.52
560,0.55,0.73,0.04,-22.52,-16.11,61.46
580,0.59,0.60,-0.02,-23.32,-12.76,51.57
600,0.61,0.65,-0.03,-22.46,-11.84,35.89
620,0.60,0.61,0.13,-14.71,-14.71,16.97
640,0.58,0.66,0.27,-10.07,-12.63,6.16
660,0.55,0.74,0.22,-8.18,-5.98,-0.67
680,0.56,0.75,0.14,-1.46,0.92,-8.06
700,0.59,0.69,0.13,5.49,4.09,-14.47
