timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.21,0.97,-0.21,3.36,2.08,-0.92
20,0.20,0.97,-0.21,2.01,2.08,-1.46
40,0.19,0.98,-0.21,-0.31,1.59,-1.59
60,0.19,0.98,-0.21,-2.93,0.98,-1.16
80,0.20,0.97,-0.22,-4.52,0.18,-1.16
100,0.20,0.97,-0.21,-9.22,-0.18,-2.14
120,0.19,0.98,-0.20,-10.56,-0.61,-2.69
140,0.19,0.99,-0.19,-10.56,-1.34,-0.79
160,0.18,1.00,-0.18,-8.97,-2.32,1.34
180,0.19,0.99,-0.18,-8.24,-2.87,2.44
200,0.21,0.98,-0.18,-7.02,-2.81,3.66
220,0.21,0.98,-0.19,-5.43,-2.08,4.33
240,0.21,0.98,-0.19,-6.29,-1.89,4.70
260,0.22,0.98,-0.18,-6.35,-1.95,4.88
280,0.22,0.97,-0.18,-5.68,-1.22,3.97
300,0.22,0.97,-0.18,-4.64,-0.67,2.99
320,0.21,0.99,-0.17,-4.88,-1.28,2.87
340,0.22,0.98,-0.17,-5.31,-1.53,4.03
360,0.23,0.97,-0.18,-5.37,-1.46,3.48
380,0.22,0.99,-0.17,-5.98,-2.01,3.23
400,0.21,1.00,-0.17,-6.59,-3.05,5.31
420,0.21,1.00,-0.17,-7.26,-4.88,7.63
440,0.22,1.00,-0.19,-8.30,-5.74,9.64
460,0.22,1.02,-0.18,-11.90,-8.24,13.06
480,0.23,1.05,-0.18,-13.49,-8.36,15.69
500,0.28,1.00,-0.13,-12.45,-8.54,18.49
520,0.23,1.06,-0.21,-13.55,-8.06,24.35
540,0.24,1.06,-0.19,-17.40,-8.85,29.05
560,0.25,1.06,-0.16,-20.94,-11.11,33.75
580,0.30,0.99,-0.11,-22.16,-11.54,37.60
600,0.36,0.86,-0.03,-18.01,-8.36,34.48
620,0.37,0.85,-0.02,-13.67,-5.74,28.75
640,0.35,0.93,-0.05,-8.42,-2.99,23.99
660,0.35,0.97,-0.09,-4.09,-4.15,23.68
680,0.35,0.99,-0.13,-4.27,-3.60,24.17
700,0.37,0.96,-0.13,-5.80,-5.13,25.02
720,0.40,0.90,-0.08,-8.42,-6.23,24.54
740,0.40,0.92,-0.05,-8.06,-5.19,21.97
760,0.39,0.98,-0.04,-5.55,-4.52,21.24
780,0.41,0.97,-0.06,-3.72,-4.46,25.02
800,0.43,0.92,-0.05,-2.38,-3.66,25.94
820,0.42,0.95,-0.06,-2.01,-2.26,25.27
840,0.42,0.98,-0.05,-0.67,-2.99,27.53
860,0.46,0.94,-0.05,-0.79,-5.00,29.48
880,0.46,0.90,-0.06,-0.79,-3.11,30.27
900,0.48,0.84,-0.08,-2.32,-2.08,27.40
920,0.48,0.89,-0.11,-4.09,-1.16,23.01
940,0.47,0.93,-0.08,-5.49,-2.38,22.34
960,0.50,0.90,-0.02,-4.88,-5.25,24.78
980,0.54,0.81,-0.04,-4.03,-4.27,23.86
1000,0.54,0.80,-0.08,-3.85,-3.48,22.09
1020,0.54,0.81,-0.05,-2.01,-4.03,18.68
1040,0.54,0.85,-0.06,-2.38,-3.78,16.48
1060,0.54,0.86,-0.05,-2.75,-5.07,16.36
1080,0.53,0.87,-0.03,-2.44,-4.94,16.78
1100,0.55,0.85,-0.06,-2.81,-4.15,18.37
1120,0.55,0.85,-0.08,-4.15,-3.60,19.17
1140,0.58,0.80,-0.08,-6.35,-3.78,19.29
1160,0.59,0.78,-0.02,-7.14,-2.01,16.97
1180,0.59,0.80,-0.01,-7.75,0.00,14.10
1200,0.59,0.83,-0.02,-6.04,0.73,12.21
