timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.16,1.20,-0.43,-40.65,-23.32,93.81
20,0.27,0.96,-0.14,-61.34,-31.37,102.72
40,0.33,0.80,-0.06,-64.94,-26.12,103.88
60,0.47,0.73,-0.02,-61.71,-24.60,100.59
80,0.63,0.55,0.17,-45.10,-18.37,88.44
100,0.67,0.44,0.26,-25.51,-21.97,67.08
120,0.68,0.36,0.26,-6.90,-16.72,45.10
140,0.66,0.33,0.28,11.41,-12.70,12.33
160,0.66,0.40,0.22,18.86,-3.42,-6.71
180,0.67,0.54,0.09,25.94,1.89,-22.22
200,0.61,0.53,-0.09,30.27,9.40,-46.63
220,0.65,0.32,-0.12,17.58,13.43,-68.48
240,0.57,0.39,-0.13,16.97,16.85,-91.67
260,0.28,1.01,-0.10,38.88,16.48,-111.39
280,0.21,1.37,0.21,49.62,3.85,-95.28
300,0.34,0.87,0.09,51.76,11.84,-72.02
320,0.46,0.58,0.06,35.58,31.68,-90.45
340,0.18,0.84,-0.53,28.44,62.07,-113.77
360,0.07,1.96,-0.91,19.17,67.81,-113.40
380,-0.52,1.84,-0.12,5.19,33.20,-68.05
400,0.30,0.93,-0.08,18.01,-16.66,17.64
420,0.39,0.66,-0.39,16.42,6.41,9.89
440,0.39,0.78,-0.25,-0.18,12.88,-14.04
460,0.20,1.08,-0.16,-0.73,20.57,-32.59
480,0.05,1.11,-0.10,7.81,14.59,-30.15
500,0.15,1.02,-0.17,6.53,0.73,-18.07
520,0.12,0.99,-0.23,-2.69,4.46,-10.38
540,0.18,0.99,-0.17,-2.81,1.53,-10.86
560,0.20,0.99,-0.16,-0.37,0.61,-9.83
580,0.18,0.99,-0.17,-0.24,1.83,-9.03
600,0.16,1.00,-0.15,0.43,2.26,-7.26
620,0.17,1.00,-0.16,0.85,3.48,-4.03
640,0.18,0.99,-0.18,0.67,5.80,-0.61
660,0.18,0.98,-0.18,1.65,7.08,0.85
680,0.18,0.98,-0.18,1.89,8.48,1.95
700,0.17,0.98,-0.18,-14.83,8.85,3.66
720,0.14,1.00,-0.15,-4.09,4.46,7.20
740,0.09,1.03,-0.15,-6.47,0.67,14.53
760,0.10,1.03,-0.15,-14.71,-3.66,23.93
780,0.21,1.07,-0.09,-33.14,-19.10,34.97
800,0.13,1.24,-0.11,-30.64,-22.03,37.48
820,0.21,1.29,-0.21,-24.11,-30.09,47.73
840,0.17,1.49,-0.36,-14.95,-24.84,72.94
860,0.12,1.33,-0.43,-27.28,-23.74,90.09
880,0.11,1.17,-0.35,-46.88,-29.36,100.71
900,0.24,0.99,-0.12,-71.59,-24.66,111.02
920,0.37,0.82,-0.02,-71.29,-20.32,113.22
