timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.19,0.98,-0.19,-3.72,-0.24,-0.18
20,0.19,0.98,-0.18,-4.39,-0.55,0.12
40,0.19,0.98,-0.18,-4.82,-0.55,0.37
60,0.18,0.99,-0.18,-6.29,-1.28,1.46
80,0.18,0.99,-0.18,-7.26,-1.95,1.89
100,0.19,0.98,-0.19,-9.22,-2.69,2.20
120,0.18,0.99,-0.18,-12.76,-4.15,2.87
140,0.20,0.99,-0.15,-15.32,-5.00,3.78
160,0.20,1.00,-0.14,-15.56,-4.46,4.03
180,0.20,0.99,-0.14,-14.83,-4.15,4.39
200,0.21,1.00,-0.14,-13.67,-3.48,4.33
220,0.21,1.00,-0.13,-13.43,-3.05,4.64
240,0.21,0.99,-0.12,-12.21,-1.83,4.64
260,0.21,1.00,-0.11,-10.86,-1.53,5.49
280,0.21,1.00,-0.10,-8.06,-1.04,6.53
300,0.20,1.01,-0.12,-6.59,-0.98,8.00
320,0.21,1.03,-0.12,-5.31,-2.32,10.80
340,0.22,1.01,-0.12,-4.76,-2.81,12.76
360,0.24,0.99,-0.13,-4.09,-3.05,14.28
380,0.23,1.02,-0.10,-2.44,-2.50,14.40
400,0.22,1.06,-0.10,0.31,-2.56,17.15
420,0.25,1.06,-0.10,1.71,-2.99,22.22
440,0.25,1.00,-0.18,-0.24,-2.93,27.53
460,0.25,1.04,-0.19,-4.09,-4.09,29.60
480,0.28,1.00,-0.16,-8.73,-6.65,32.59
500,0.29,0.99,-0.12,-12.08,-8.18,33.20
520,0.32,0.99,-0.08,-11.29,-8.18,34.00
540,0.32,0.99,-0.08,-9.89,-7.93,35.28
560,0.34,0.97,-0.06,-8.30,-8.54,36.19
580,0.34,0.96,-0.07,-6.53,-8.12,36.80
600,0.36,0.98,-0.08,-6.96,-9.03,37.60
620,0.37,0.97,-0.10,-8.06,-9.83,38.64
640,0.41,0.92,-0.09,-9.95,-11.05,41.08
660,0.40,0.93,-0.07,-10.74,-11.54,40.10
680,0.40,1.02,0.01,-7.02,-13.92,41.32
700,0.49,0.84,0.05,-2.01,-19.10,47.73
720,0.54,0.73,-0.01,-0.37,-13.98,42.42
740,0.56,0.65,-0.07,0.06,-8.42,32.90
760,0.53,0.75,-0.10,0.06,-1.16,15.81
780,0.55,0.74,-0.03,0.06,-4.70,9.34
800,0.54,0.75,-0.05,0.31,-3.11,2.69
820,0.54,0.78,-0.03,1.46,-2.62,-6.35
840,0.54,0.80,-0.03,2.20,-1.53,-11.78
860,0.54,0.77,-0.02,1.83,-0.24,-17.46
880,0.58,0.67,-0.01,2.14,4.39,-32.96
