timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.22,0.99,-0.12,0.92,2.38,-0.79
20,0.21,1.00,-0.12,1.04,2.08,-0.55
40,0.21,1.00,-0.11,0.31,1.59,0.49
60,0.15,1.05,-0.09,-1.40,0.85,3.91
80,0.07,1.16,-0.05,-4.39,-2.32,15.20
100,0.06,1.32,-0.07,-9.46,-9.52,35.40
120,0.28,1.57,-0.17,-13.43,-14.65,72.51
140,0.08,1.54,-0.64,-16.11,-5.07,98.69
160,0.12,1.28,-0.57,-44.68,-19.65,116.82
180,0.27,0.80,-0.23,-80.26,-25.94,117.61
200,0.54,0.37,0.07,-83.31,-32.65,106.45
220,0.56,0.43,0.32,-67.87,-26.00,83.80
240,0.65,0.55,0.48,-32.71,-12.15,49.44
260,0.60,0.58,0.37,-15.69,-3.66,33.75
280,0.66,0.43,0.24,-2.20,1.65,18.37
300,0.64,0.41,0.04,5.07,12.51,-13.37
320,0.64,0.49,-0.01,19.17,10.25,-34.12
340,0.68,0.39,0.11,22.34,11.47,-57.98
360,0.66,0.24,0.08,26.12,17.21,-90.33
380,0.33,0.76,-0.16,11.05,10.19,-135.19
400,0.06,1.70,0.15,24.78,-0.49,-136.72
420,0.01,1.61,0.22,44.92,-1.28,-91.13
440,0.36,0.93,0.21,74.04,8.30,-32.17
460,0.51,0.34,-0.02,79.22,46.08,-41.32
480,0.66,0.18,-0.33,54.32,74.52,-84.90
500,-1.17,2.09,0.19,-3.11,126.77,-166.32
520,0.08,1.42,0.78,-7.93,-80.51,-1.10
540,0.41,0.74,-0.55,23.99,5.86,19.84
560,0.17,0.98,-0.18,-1.28,1.83,-6.90
580,0.18,1.00,-0.12,-4.21,7.45,-4.46
600,0.17,1.00,-0.13,-3.66,3.60,-8.30
620,0.17,1.00,-0.15,-2.56,-0.55,-8.85
640,0.17,0.99,-0.14,-1.10,-2.99,-9.28
660,0.14,1.01,-0.11,-0.06,-2.32,-9.83
680,0.15,1.00,-0.12,1.53,-0.92,-4.58
700,0.15,0.98,-0.17,1.83,1.83,-2.08
720,0.16,0.98,-0.16,-0.18,2.44,-2.01
740,0.15,0.99,-0.15,-2.56,3.48,-0.67
760,0.16,0.99,-0.16,-5.25,3.97,-0.06
780,0.13,1.01,-0.11,-6.84,5.13,0.98
800,0.11,1.00,-0.11,-6.41,5.49,4.39
820,0.12,1.07,-0.06,-7.20,2.01,24.90
840,0.04,1.11,-0.08,-18.86,-0.37,38.33
860,-0.08,1.35,-0.04,-26.25,-17.21,55.18
880,0.15,1.72,-0.09,-23.74,-34.42,91.25
900,-0.05,1.78,-0.78,-20.94,-5.62,112.24
920,0.05,1.28,-0.76,-42.54,-26.18,140.32
940,0.28,0.68,-0.29,-92.47,-33.26,142.46
960,0.59,0.13,0.15,-99.61,-22.58,138.92
980,0.72,0.01,0.42,-77.76,-7.81,107.60
1000,0.77,0.06,0.71,-26.37,-9.22,38.51
1020,0.76,0.23,0.63,7.32,10.19,0.24
1040,0.88,0.42,0.73,46.33,6.41,-40.22
1060,0.80,-0.07,0.62,99.79,40.71,-98.39
1080,0.26,-0.64,-0.53,60.85,77.94,-143.25
1100,-0.11,1.38,-1.07,13.43,73.43,-202.15
1120,-0.39,2.40,-0.98,0.49,-4.21,-142.15
1140,-0.03,2.10,0.37,-19.17,-45.65,-46.33
1160,0.20,1.26,0.10,9.83,-10.68,5.49
1180,0.52,0.56,-0.06,12.88,-0.49,8.42
1200,0.69,0.46,0.13,27.77,62.62,-50.78
1220,-0.42,1.72,-1.65,53.22,99.73,-88.44
1240,-0.82,1.69,0.49,39.61,2.99,-80.93
1260,0.18,0.97,-0.15,18.74,-7.32,7.63
1280,0.21,1.00,-0.10,15.14,-6.04,3.91
1300,0.20,0.99,-0.16,19.35,-0.55,2.75
1320,0.21,0.96,-0.20,7.45,3.91,3.66
1340,0.20,0.99,-0.16,0.92,1.40,0.12
1360,0.21,0.98,-0.16,-0.61,3.05,-1.83
1380,0.18,1.00,-0.13,0.49,2.26,-5.55
1400,0.17,1.00,-0.14,2.81,2.87,-3.91
1420,0.18,0.98,-0.17,2.08,5.49,-1.83
1440,0.18,0.98,-0.16,-2.38,6.41,-0.31
1460,0.18,0.99,-0.16,-4.15,6.41,0.37
1480,0.17,1.00,-0.13,-4.64,5.37,0.79
1500,0.11,1.02,-0.10,-3.72,0.85,7.69
1520,0.05,1.09,-0.05,-7.69,-3.42,22.58
1540,0.07,1.10,-0.10,-18.55,-10.07,35.28
1560,-0.07,1.49,-0.07,-32.96,-41.50,61.40
1580,0.09,2.13,-0.30,-15.87,-47.12,94.60
1600,-0.04,1.76,-0.82,-24.84,-28.14,133.79
1620,0.01,1.27,-0.78,-63.54,-40.95,156.86
1640,0.32,0.75,-0.02,-109.19,-40.71,168.82
1660,0.57,0.31,0.10,-96.92,-21.00,174.99
1680,0.74,0.22,0.26,-70.56,-23.01,145.26
1700,0.76,0.03,0.40,-28.14,-44.25,89.60
1720,0.69,0.06,0.42,2.56,-33.69,51.21
1740,0.74,-0.12,0.57,39.49,-36.50,23.99
1760,0.94,-0.45,0.44,43.82,-1.83,-28.75
1780,0.91,-0.14,0.16,22.83,37.23,-95.76
1800,0.76,-0.18,-0.05,36.56,45.23,-151.12
1820,0.25,0.93,-0.51,-14.10,47.79,-217.59
1840,0.02,1.97,0.12,33.20,18.86,-225.83
1860,-0.21,1.71,0.46,61.34,-11.66,-166.99
1880,0.02,0.95,0.55,90.94,23.13,-119.38
1900,0.31,3.50,-3.42,93.14,100.71,-130.98
1920,-1.40,2.42,0.96,38.33,-45.04,-66.53
1940,0.51,0.91,0.04,-0.85,-5.55,51.57
1960,0.40,0.67,-0.40,-8.48,29.05,25.76
1980,0.32,0.90,-0.06,-3.85,22.89,-0.43
2000,0.20,1.04,-0.11,10.13,11.29,-16.97
2020,0.17,1.02,-0.12,9.89,-0.55,-11.78
2040,0.19,1.00,-0.12,12.88,-1.59,-8.54
2060,0.21,0.99,-0.13,12.94,2.01,-5.92
2080,0.19,0.98,-0.18,11.41,5.00,-6.29
2100,0.19,0.97,-0.20,6.53,4.15,-5.49
2120,0.19,0.97,-0.19,0.67,2.81,-4.52
2140,0.16,1.00,-0.15,-4.94,3.97,-2.26
2160,0.17,1.01,-0.13,-6.77,4.15,0.49
2180,0.07,1.06,-0.07,-7.51,4.64,4.70
2200,0.01,1.24,-0.12,-14.71,-8.97,29.11
2220,0.05,1.45,-0.10,-26.31,-27.65,56.70
2240,0.20,1.70,-0.25,-15.56,-34.24,79.77
2260,0.02,1.77,-0.70,-28.93,-24.48,119.02
2280,0.02,1.42,-0.51,-54.14,-41.32,144.84
2300,0.09,1.03,-0.23,-81.05,-35.71,153.02
2320,0.44,0.50,-0.02,-90.76,-18.43,164.37
2340,0.65,0.37,0.04,-77.15,-6.10,139.10
2360,0.63,0.35,0.08,-58.90,-16.66,115.60
2380,0.77,0.26,0.41,-30.33,-41.69,72.75
2400,0.70,-0.09,0.37,11.84,-37.66,44.80
2420,0.73,-0.01,0.37,9.89,-15.14,13.67
2440,0.76,0.10,0.20,14.22,5.62,-20.26
2460,0.86,-0.02,0.01,19.47,24.78,-74.65
2480,0.90,-0.06,-0.20,0.67,20.81,-112.55
2500,0.20,0.56,-0.34,-8.67,35.10,-154.66
2520,0.54,1.23,0.73,46.14,-11.60,-174.32
2540,0.21,1.04,0.78,76.97,8.85,-171.57
2560,-0.04,0.80,0.26,91.80,34.91,-139.16
2580,0.11,1.45,-0.41,83.98,47.42,-118.84
2600,-0.24,2.60,-3.46,57.43,126.89,-118.90
2620,-0.62,2.21,1.02,5.13,-4.82,-74.28
2640,0.29,0.90,-0.24,15.38,-20.26,25.57
2660,0.33,0.83,-0.33,-0.61,14.71,20.81
2680,0.23,0.98,-0.11,-6.53,16.30,2.93
2700,0.21,1.02,-0.11,5.62,6.16,-3.23
2720,0.22,0.99,-0.13,9.70,3.97,-5.49
2740,0.20,1.00,-0.13,9.52,0.79,-8.00
2760,0.19,1.00,-0.14,7.57,2.93,-6.10
2780,0.20,0.98,-0.16,8.48,4.21,-4.09
2800,0.20,0.98,-0.17,6.04,4.27,-3.23
2820,0.21,0.97,-0.18,3.66,3.11,-3.36
2840,0.20,0.98,-0.17,-0.31,3.97,-3.85
2860,0.18,1.00,-0.15,-1.71,4.58,-3.17
2880,0.18,1.00,-0.13,-0.49,6.84,-0.67
2900,0.12,1.01,-0.15,3.11,9.95,3.54
2920,0.05,1.10,-0.05,0.06,4.39,10.50
2940,0.02,1.17,-0.07,-1.16,-5.07,30.40
2960,0.01,1.57,-0.19,-25.88,-27.16,66.59
2980,0.40,1.36,-0.17,-20.14,-38.27,86.18
3000,0.16,1.70,-0.75,-27.10,-14.95,94.54
3020,0.08,1.29,-0.68,-60.24,-37.41,126.22
3040,0.14,1.03,-0.19,-85.02,-41.81,128.05
3060,0.35,0.85,0.14,-98.02,-27.83,130.62
3080,0.64,0.43,0.28,-71.84,-16.24,135.13
3100,0.82,0.17,0.35,-53.59,-12.76,111.21
3120,0.77,0.19,0.28,-32.96,-29.11,79.59
3140,0.70,0.10,0.12,-8.73,-18.92,35.03
3160,0.68,0.21,0.04,-5.13,-12.57,8.67
3180,0.80,0.03,0.01,3.11,-9.03,-15.14
3200,0.85,-0.07,0.06,4.76,-4.82,-72.69
3220,0.65,-0.20,0.18,-8.30,6.77,-130.00
3240,-0.09,1.27,0.24,7.14,20.81,-195.19
3260,0.72,1.00,0.73,71.04,-11.29,-156.86
3280,-0.26,1.64,0.50,109.25,15.26,-166.81
3300,0.37,0.40,-0.04,132.14,22.95,-87.46
3320,0.36,0.30,-0.72,84.90,71.17,-109.44
3340,-1.96,2.35,0.15,25.15,229.92,-219.91
3360,-0.28,1.65,0.36,-37.35,-71.66,-3.72
3380,0.33,0.92,-0.06,-1.10,-21.12,57.07
3400,0.31,0.84,-0.25,6.90,27.04,8.42
3420,0.11,1.07,-0.04,4.58,9.83,-10.99
3440,0.22,1.02,-0.07,11.47,-0.85,-2.87
3460,0.19,0.99,-0.14,15.81,-0.06,-0.18
3480,0.20,0.97,-0.18,12.39,4.15,-0.79
3500,0.19,0.98,-0.17,6.77,4.15,-2.93
3520,0.18,0.98,-0.16,-0.31,1.83,-2.44
3540,0.19,0.98,-0.17,-2.44,2.56,-1.53
3560,0.18,1.00,-0.12,-4.15,2.38,-1.40
3580,0.19,0.99,-0.14,-3.36,6.41,0.18
3600,0.15,0.98,-0.13,-6.29,6.10,0.49
3620,0.05,1.07,-0.05,-6.29,1.46,6.90
3640,0.09,1.08,-0.10,-6.65,-5.80,30.58
3660,0.11,1.17,-0.08,-26.55,-11.47,46.14
3680,0.11,1.29,-0.11,-26.00,-15.75,55.73
3700,0.16,1.52,-0.21,-23.38,-21.06,68.66
3720,0.10,1.58,-0.72,-27.22,-11.54,99.12
3740,0.04,1.47,-0.57,-48.83,-24.54,118.53
3760,0.11,1.01,-0.31,-74.95,-30.76,127.62
3780,0.36,0.75,0.03,-99.98,-19.65,125.92
3800,0.68,0.44,0.22,-86.61,-18.01,132.81
3820,0.74,0.22,0.21,-66.59,5.86,108.83
3840,0.83,0.15,0.42,-32.71,-26.37,61.16
3860,0.71,0.10,0.44,7.57,-16.91,23.13
3880,0.73,-0.02,0.57,39.98,-20.32,2.01
3900,0.79,0.01,0.20,35.40,5.68,-52.43
3920,0.75,0.07,-0.13,20.51,28.93,-99.91
3940,0.63,0.00,-0.22,19.23,44.01,-130.68
3960,0.47,0.77,-0.23,21.67,28.02,-207.89
3980,0.06,1.87,0.12,65.25,-18.92,-164.55
4000,-0.07,1.66,0.44,58.96,-14.83,-90.21
4020,0.40,0.52,0.45,80.14,18.43,-71.29
4040,1.93,0.43,-1.07,74.52,93.38,-121.70
4060,-2.12,2.36,0.42,75.01,181.82,-174.93
4080,0.69,1.09,-0.28,1.83,-88.13,80.69
4100,0.46,0.70,-0.48,8.73,33.63,36.19
4120,0.16,1.01,-0.13,9.46,16.36,3.48
4140,0.25,1.00,-0.12,11.47,2.93,2.26
4160,0.21,0.96,-0.22,10.44,9.70,-3.78
4180,0.21,0.99,-0.17,3.36,3.05,-8.61
4200,0.21,0.96,-0.19,-0.06,5.43,-8.85
4220,0.19,0.99,-0.16,-4.09,2.44,-13.37
4240,0.18,1.00,-0.15,-1.89,3.23,-10.19
4260,0.19,0.99,-0.16,-2.38,2.93,-7.14
4280,0.18,0.98,-0.17,-3.54,5.62,-3.85
4300,0.17,1.00,-0.15,-5.31,6.35,-3.17
4320,0.16,1.01,-0.13,-4.76,6.10,-1.34
4340,0.09,1.03,-0.09,-3.11,2.93,3.72
4360,-0.00,1.13,-0.02,-3.72,-2.32,17.40
4380,0.03,1.20,-0.08,-15.75,-13.55,45.41
4400,0.07,1.45,-0.03,-20.69,-27.59,76.17
4420,0.04,1.71,-0.36,-16.24,-21.61,83.74
4440,0.02,1.62,-0.78,-20.39,-18.68,107.30
4460,0.05,1.37,-0.64,-57.62,-42.97,131.71
4480,0.28,0.77,-0.09,-83.25,-34.06,131.10
4500,0.59,0.34,0.09,-85.39,-21.55,134.28
4520,0.71,0.24,0.19,-71.84,-12.82,98.94
4540,0.66,0.21,0.07,-35.52,-16.42,64.58
4560,0.67,0.43,0.27,-14.47,-23.19,34.61
4580,0.70,0.34,0.40,8.61,-23.50,16.60
4600,0.69,0.31,0.24,12.27,-1.46,-18.98
4620,0.77,0.14,0.10,17.33,13.00,-44.74
4640,0.84,-0.05,0.04,20.39,25.33,-82.28
4660,0.64,-0.10,-0.34,-9.58,40.77,-143.31
4680,0.15,0.73,-0.27,-21.73,36.07,-213.99
4700,0.11,1.27,0.16,3.42,-3.60,-218.32
4720,-0.21,2.71,0.59,62.32,-12.15,-169.56
4740,-2.19,2.28,-0.84,139.10,66.71,-111.15
4760,0.23,1.23,-0.09,53.22,-68.05,37.35
4780,0.45,0.84,-0.30,8.54,28.26,31.37
4800,0.31,0.91,-0.12,1.46,43.27,1.77
4820,0.20,1.02,-0.03,13.67,33.39,-4.82
4840,0.18,1.01,-0.15,25.02,12.82,-7.75
4860,0.18,1.00,-0.15,18.55,1.53,-6.77
4880,0.20,1.00,-0.12,14.59,-1.22,-6.10
4900,0.19,0.99,-0.15,13.18,2.62,-4.70
4920,0.21,0.96,-0.21,8.79,3.85,-4.76
4940,0.21,0.95,-0.22,2.01,2.26,-6.10
4960,0.20,0.97,-0.19,-4.27,0.67,-7.93
4980,0.19,0.99,-0.15,-8.42,-0.61,-8.24
5000,0.18,1.00,-0.13,-7.32,0.67,-5.37
5020,0.18,1.00,-0.13,-5.92,2.69,-2.20
5040,0.18,1.00,-0.13,-1.95,6.53,1.28
5060,0.16,1.00,-0.13,0.24,8.06,2.44
5080,0.05,1.06,-0.04,0.92,5.74,7.93
5100,0.02,1.14,-0.12,-6.10,-7.20,38.51
5120,0.06,1.33,-0.09,-26.49,-19.47,53.89
5140,0.17,1.30,-0.14,-24.78,-27.71,70.43
5160,0.26,1.57,-0.53,-24.41,-11.29,88.32
5180,0.13,1.33,-0.83,-37.17,-17.09,109.07
5200,0.14,1.09,-0.59,-73.73,-32.04,114.14
5220,0.19,0.92,-0.15,-107.30,-37.66,108.64
5240,0.53,0.63,0.04,-106.93,-36.32,122.07
5260,0.68,0.55,0.25,-97.23,-23.80,112.55
5280,0.75,0.33,0.42,-50.72,-8.06,72.69
5300,0.67,0.20,0.45,-20.20,-23.62,37.96
5320,0.67,0.16,0.53,8.18,-16.42,15.81
5340,0.68,-0.00,0.50,33.69,-14.28,-23.99
5360,0.79,-0.17,0.22,20.75,12.82,-54.32
5380,0.66,-0.02,-0.11,10.56,33.57,-100.04
5400,0.51,0.04,-0.47,-0.92,35.34,-132.08
5420,0.44,1.84,0.28,52.43,1.16,-191.59
5440,0.02,1.50,0.52,79.35,-6.84,-157.04
5460,-0.11,1.02,0.39,89.36,3.42,-110.11
5480,0.28,1.17,-0.35,77.76,17.27,-95.95
5500,-1.18,2.53,-2.82,107.12,124.63,-110.53
5520,-0.24,1.80,0.98,13.31,-22.95,-23.62
5540,0.44,0.75,-0.27,1.59,28.63,20.87
5560,0.25,0.95,-0.11,8.73,35.64,-6.29
5580,0.17,1.04,-0.09,12.15,16.85,-13.98
5600,0.18,1.00,-0.14,11.41,4.52,-9.58
5620,0.17,1.01,-0.10,8.61,-3.30,-9.22
5640,0.18,0.99,-0.12,7.20,-0.98,-6.16
5660,0.19,1.00,-0.10,8.85,1.95,-3.72
5680,0.19,0.97,-0.18,5.80,1.83,-1.77
5700,0.20,0.97,-0.17,0.49,1.34,-2.08
5720,0.19,0.99,-0.14,-3.36,0.73,-2.99
5740,0.18,1.00,-0.13,-3.17,2.81,-1.04
5760,0.18,1.00,-0.12,-3.17,4.09,0.43
5780,0.12,1.00,-0.11,-2.26,4.03,2.75
5800,0.12,1.02,-0.13,-9.09,-1.22,16.17
5820,0.09,1.09,-0.08,-21.12,-4.70,28.56
5840,0.13,1.14,-0.03,-27.47,-10.13,41.69
5860,0.09,1.45,-0.18,-26.00,-23.99,62.13
5880,0.15,1.75,-0.24,-20.69,-27.83,73.85
5900,0.07,1.78,-0.54,-23.99,-18.25,99.49
5920,0.09,1.29,-0.46,-40.53,-26.06,130.98
5940,0.19,0.87,-0.18,-67.87,-29.66,133.12
5960,0.34,0.64,0.01,-88.38,-17.64,130.13
5980,0.68,0.30,0.09,-90.33,-4.27,125.67
6000,0.73,0.31,0.03,-72.14,-1.77,93.51
6020,0.76,0.24,0.26,-45.41,-34.67,57.86
6040,0.68,0.13,0.34,8.42,-31.07,24.23
6060,0.71,0.05,0.44,25.57,-24.35,-3.11
6080,0.74,0.14,0.39,22.34,-6.90,-38.82
6100,0.71,0.22,0.19,27.53,18.25,-91.92
6120,0.62,-0.02,-0.06,27.95,23.44,-122.92
6140,0.45,0.55,-0.20,16.17,34.91,-150.57
6160,0.15,1.32,0.07,51.15,-9.40,-172.61
6180,-0.05,1.29,0.23,53.28,11.96,-134.40
6200,0.20,0.55,0.25,60.91,6.29,-102.66
6220,1.00,1.69,-0.26,58.78,47.67,-135.38
6240,-1.39,2.27,1.39,61.89,-54.32,-95.21
6260,0.22,0.91,-0.50,-8.79,7.57,61.28
6280,0.34,0.81,-0.24,6.77,33.20,40.47
6300,0.19,1.02,-0.08,13.67,21.91,3.36
6320,0.21,1.00,-0.15,15.50,8.18,2.32
6340,0.22,0.99,-0.15,13.55,3.91,2.38
6360,0.23,0.96,-0.18,9.09,4.46,0.55
6380,0.22,0.98,-0.14,3.23,4.58,-2.56
6400,0.21,0.98,-0.15,2.01,4.82,-4.39
6420,0.22,0.97,-0.17,1.59,4.46,-4.33
6440,0.21,0.97,-0.17,-0.85,3.11,-5.68
6460,0.19,0.99,-0.15,-4.33,0.37,-6.29
6480,0.19,0.99,-0.14,-5.19,0.92,-4.03
6500,0.20,0.99,-0.14,-3.72,2.56,-2.32
6520,0.13,1.02,-0.09,-4.03,2.20,-0.73
6540,0.10,1.04,-0.07,-2.62,-2.99,10.44
6560,0.12,1.05,-0.14,-7.63,-12.39,25.51
6580,0.06,1.21,-0.11,-23.07,-19.71,39.79
6600,0.07,1.49,-0.17,-28.14,-30.03,68.12
6620,0.23,1.61,-0.31,-19.84,-32.41,83.62
6640,0.10,1.59,-0.73,-28.69,-26.79,108.03
6660,0.15,1.25,-0.65,-50.54,-41.44,125.43
6680,0.20,0.87,-0.07,-94.54,-42.24,122.62
6700,0.47,0.63,0.22,-99.18,-24.23,128.54
6720,0.69,0.50,0.26,-92.22,-12.63,123.29
6740,0.72,0.24,0.13,-70.37,-6.77,82.76
6760,0.80,0.21,0.30,-51.88,-32.47,47.97
6780,0.64,0.28,0.31,-16.78,-16.97,18.68
6800,0.53,0.01,0.28,31.37,-16.91,-4.39
6820,0.51,0.10,0.17,29.48,-2.20,-26.25
6840,0.77,0.05,0.15,28.02,8.48,-48.34
6860,1.02,-0.12,0.13,36.32,22.22,-120.61
6880,0.29,0.06,-0.30,21.48,36.87,-163.39
6900,0.08,1.40,-0.11,39.98,11.78,-228.09
6920,0.15,1.36,0.43,70.37,-11.47,-168.70
6940,-0.18,1.57,0.49,89.36,4.82,-132.93
6960,0.14,2.91,-1.66,131.29,73.67,-103.15
6980,-0.82,1.72,0.06,114.01,3.72,-12.88
7000,0.47,0.82,-0.03,-10.56,16.54,55.66
7020,0.22,0.94,-0.17,13.24,45.59,19.65
